UBICACIÓN,ZONA DE TRABAJO,ZONA DE MOVIMIENTO,ZONA DE RECOGIDA
01-01-01-01,ZTKEG,ZM_PICK,ZSPICKIN
01-02-01-01,ZTKEG,ZM_PICK,ZSPICKIN
01-03-01-01,ZTKEG,ZM_PICK,ZSPICKIN
01-04-01-01,ZTKEG,ZM_PICK,ZSPICKIN
01-05-01-01,ZTKEG,ZM_PICK,ZSPICKIN
01-06-01-01,ZTKEG,ZM_PICK,ZSPICKIN
01-07-01-01,ZTKEG,ZM_PICK,ZSPICKIN
01-08-01-01,ZTKEG,ZM_PICK,ZSPICKIN
01-09-01-01,ZTKEG,ZM_PICK,ZSPICKIN
01-10-01-01,ZTKEG,ZM_PICK,ZSPICKIN
01-11-01-01,ZTKEG,ZM_PICK,ZSPICKIN
01-12-01-01,ZTKEG,ZM_PICK,ZSPICKIN
01-13-01-01,ZTKEG,ZM_PICK,ZSPICKIN
01-14-01-01,ZTKEG,ZM_PICK,ZSPICKIN
01-15-01-01,ZTKEG,ZM_PICK,ZSPICKIN
01-16-01-01,ZTKEG,ZM_PICK,ZSPICKIN
01-17-01-01,ZTKEG,ZM_PICK,ZSPICKIN
01-18-01-01,ZTKEG,ZM_PICK,ZSPICKIN
01-19-01-01,ZTKEG,ZM_PICK,ZSPICKIN
01-20-01-01,ZTKEG,ZM_PICK,ZSPICKIN
01-21-01-01,ZTKEG,ZM_PICK,ZSPICKIN
01-22-01-01,ZTKEG,ZM_PICK,ZSPICKIN
01-23-01-01,ZTKEG,ZM_PICK,ZSPICKIN
01-24-01-01,ZTKEG,ZM_PICK,ZSPICKIN
01-25-01-01,ZTKEG,ZM_PICK,ZSPICKIN
01-25-01-02,ZTKEG,ZM_PICK,ZSPICKIN
01-26-01-01,ZTKEG,ZM_PICK,ZSPICKIN
01-26-01-02,ZTKEG,ZM_PICK,ZSPICKIN
01-27-01-01,ZTKEG,ZM_PICK,ZSPICKIN
01-27-01-02,ZTKEG,ZM_PICK,ZSPICKIN
01-28-01-01,ZTKEG,ZM_PICK,ZSPICKIN
01-28-01-02,ZTKEG,ZM_PICK,ZSPICKIN
01-29-01-01,ZTKEG,ZM_PICK,ZSPICKIN
01-29-01-02,ZTKEG,ZM_PICK,ZSPICKIN
01-30-01-01,ZTBIDONES,ZM_PICK,ZSPICKIN
01-31-01-01,ZTBIDONES,ZM_PICK,ZSPICKIN
01-32-01-01,ZTBIDONES,ZM_PICK,ZSPICKIN
01-33-01-01,ZTBIDONES,ZM_PICK,ZSPICKIN
01-34-01-01,ZTBIDONES,ZM_PICK,ZSPICKIN
01-35-01-01,ZTBIDONES,ZM_PICK,ZSPICKIN
01-36-01-01,ZTBIDONES,ZM_PICK,ZSPICKIN
01-37-01-01,ZTBIDONES,ZM_PICK,ZSPICKIN
01-38-01-01,ZTBIDONES,ZM_PICK,ZSPICKIN
01-41-01-01,ZTBIDONES,ZM_PICK,ZSPICKIN
01-42-01-01,ZTBIDONES,ZM_PICK,ZSPICKIN
02-01-01-01,ZTPISCO,ZM_CAJ,ZSPICKIN
02-01-01-02,ZTPISCO,ZM_CAJ,ZSPICKIN
02-02-01-01,ZTPISCO,ZM_PICK,ZSPICKIN
02-03-01-01,ZTPISCO,ZM_PICK,ZSPICKIN
02-04-01-01,ZTPISCO,ZM_PICK,ZSPICKIN
02-05-01-01,ZTPISCO,ZM_PICK,ZSPICKIN
02-06-01-01,ZTPISCO,ZM_CAJ,ZSPICKIN
02-06-01-02,ZTPISCO,ZM_CAJ,ZSPICKIN
02-07-01-01,ZTPISCO,ZM_CAJ,ZSPICKIN
02-07-01-02,ZTPISCO,ZM_CAJ,ZSPICKIN
02-07-01-03,ZTPISCO,ZM_CAJ,ZSPICKIN
02-08-01-01,ZTPISCO,ZM_CAJ,ZSPICKIN
02-08-01-02,ZTPISCO,ZM_CAJ,ZSPICKIN
02-08-01-03,ZTPISCO,ZM_CAJ,ZSPICKIN
02-09-01-01,ZTPISCO,ZM_CAJ,ZSPICKIN
02-09-01-02,ZTPISCO,ZM_CAJ,ZSPICKIN
02-09-01-03,ZTPISCO,ZM_CAJ,ZSPICKIN
02-10-01-01,ZTPISCO,ZM_CAJ,ZSPICKIN
02-10-01-02,ZTPISCO,ZM_CAJ,ZSPICKIN
02-10-01-03,ZTPISCO,ZM_CAJ,ZSPICKIN
02-10-01-04,ZTPISCO,ZM_CAJ,ZSPICKIN
02-11-01-01,ZTPISCO,ZM_PICK,ZSPICKIN
02-12-01-01,ZTPISCO,ZM_PICK,ZSPICKIN
02-13-01-01,ZTPISCO,ZM_CAJ,ZSPICKIN
02-13-01-02,ZTPISCO,ZM_CAJ,ZSPICKIN
02-13-01-03,ZTPISCO,ZM_CAJ,ZSPICKIN
02-13-01-04,ZTPISCO,ZM_CAJ,ZSPICKIN
02-14-01-01,ZTPISCO,ZM_CAJ,ZSPICKIN
02-14-01-02,ZTPISCO,ZM_CAJ,ZSPICKIN
02-14-01-03,ZTPISCO,ZM_CAJ,ZSPICKIN
02-15-01-01,ZTPISCO,ZM_CAJ,ZSPICKIN
02-15-01-02,ZTPISCO,ZM_CAJ,ZSPICKIN
02-15-01-03,ZTPISCO,ZM_CAJ,ZSPICKIN
02-16-01-01,ZTPISCO,ZM_CAJ,ZSPICKIN
02-16-01-02,ZTPISCO,ZM_CAJ,ZSPICKIN
02-16-01-03,ZTPISCO,ZM_CAJ,ZSPICKIN
02-17-01-01,ZTPISCO,ZM_CAJ,ZSPICKIN
02-17-01-02,ZTPISCO,ZM_CAJ,ZSPICKIN
02-17-01-03,ZTPISCO,ZM_CAJ,ZSPICKIN
02-18-01-01,ZTPISCO,ZM_CAJ,ZSPICKIN
02-18-01-02,ZTPISCO,ZM_CAJ,ZSPICKIN
02-18-01-03,ZTPISCO,ZM_CAJ,ZSPICKIN
02-18-01-04,ZTPISCO,ZM_CAJ,ZSPICKIN
02-19-01-01,ZTPISCO,ZM_CAJ,ZSPICKIN
