articulo,cajas_por_pallet
000008,672
000515,40
000545,60
000566,40
000592,40
000595,100
000608,60
000621,8
000622,8
000763,50
000765,40
000836,20
007245,60
007248,56
007254,60
007266,112
007267,112
007280,60
007481,72
007482,72
007483,72
007485,72
007491,72
007492,72
007493,72
007496,16
007585,80
007602,88
007614,44
007628,64
007629,64
007630,64
007680,64
007686,64
007702,60
007788,64
007789,60
007790,60
007792,56
007793,44
007794,56
007795,60
007796,56
007797,60
007798,60
007799,64
007801,64
007802,60
007803,64
007825,88
007840,44
007841,80
007842,44
007845,44
007848,80
007850,44
007851,44
007854,44
007860,64
007863,64
007864,64
007865,64
007866,60
007869,56
007917,112
007919,112
007962,64
007963,64
007996,44
009021,64
009030,56
009033,56
084004,44
254478,180
255125,24
255126,24
255785,312
264813,30
268142,70
268175,45
268407,196
268408,120
268533,30
268534,72
268758,240
268759,162
268820,45
268821,30
268822,30
268840,49
268841,35
268842,35
268983,60
268987,189
268988,96
268991,144
269006,196
269022,80
269023,80
269080,120
269098,78
269149,120
269166,50
269169,60
269211,100
269236,273
269243,140
269244,296
269245,196
269335,126
269350,91
269364,186
269365,56
269366,40
269367,125
269443,117
269447,98
269479,30
269480,30
269483,296
269484,196
269511,36
269512,168
269513,132
269514,100
269623,88
269624,108
269625,88
269626,88
269650,100
269658,203
269659,30
269661,168
269662,192
269665,203
269666,206
269667,160
269668,280
269685,126
269694,44
269719,120
269720,120
269721,120
269722,238
269723,180
400309,60
400322,100
400348,40
400351,80
400352,80
400353,80
400361,60
400362,60
400363,60
400364,60
400365,60
400366,60
400994,72
400995,56
442000,84
442001,80
442002,120
442006,88
442008,88
442009,88
442013,33
442014,45
442017,33
442020,33
442023,60
442026,44
442029,44
442031,44
442032,44
442033,44
442035,44
442040,55
442041,30
442059,42
442062,60
442064,60
442068,30
442071,64
442072,55
442073,24
442074,40
442076,48
442077,24
442080,42
442084,32
442088,66
442092,51
442093,66
442095,42
442103,66
442104,66
442111,33
442112,32
442125,96
442147,88
442160,51
442168,90
442198,42
442202,66
442208,88
442241,75
442245,12
442252,40
442266,120
442275,80
442276,30
442277,96
442280,44
442283,88
442287,40
442288,90
442289,33
442291,64
442296,96
442298,80
442299,60
442300,44
442301,80
442306,88
442307,44
442308,126
442309,126
442311,52
442317,87
442318,45
442319,120
442322,84
442324,45
442325,45
442326,42
442327,66
442328,52
442329,27
442331,96
442339,60
442340,60
442343,64
442344,64
442346,44
442347,40
442349,44
442350,52
442351,60
442352,52
442353,52
442354,120
442355,75
442356,65
442357,56
442358,100
442359,40
442360,52
442361,65
442362,88
442363,88
442364,33
442365,55
442366,55
442367,32
442368,48
442369,80
442370,100
442371,120
442372,96
442373,56
442374,100
442375,100
442376,55
442377,55
442378,150
442379,100
442380,80
442381,96
442382,96
442383,96
442384,52
442385,52
442386,120
442387,100
442388,80
442389,120
442390,60
442391,39
442392,52
442393,52
442394,96
442395,96
442396,126
442397,120
442398,48
442399,87
442400,33
442401,45
442402,33
442403,45
442404,60
442405,192
442406,192
442407,100
442408,60
442409,88
442410,88
442411,160
442412,120
442413,32
442414,52
442415,18
442416,75
442417,80
442418,150
442419,96
442420,120
442421,120
442422,80
442423,100
442424,55
442425,60
442427,128
443000,891
443001,891
443006,891
443009,891
443010,891
443011,891
443012,891
443013,891
443015,891
443019,891
443021,891
443022,891
443024,891
443027,891
443028,891
443029,891
443033,891
443034,891
443035,891
443036,891
443037,891
443040,891
443043,891
443046,891
443067,891
443069,891
443075,891
443076,891
443081,891
443098,432
443104,891
443126,891
443130,891
443131,891
443132,891
443134,891
443137,891
443147,891
443153,52
443154,891
443156,891
443157,891
443158,891
443170,64
443171,64
443172,64
443173,120
443174,624
443175,624
443176,85
443177,432
443178,432
443179,432
443180,432
443181,432
443182,432
443183,432
443184,891
443185,891
443186,432
443188,432
443189,176
443190,48
443191,432
443192,432
443193,432
443194,432
443195,432
443196,432
443197,432
443198,432
443199,432
443200,432
443201,145
443202,55
443203,75
443204,55
443205,432
443206,432
443207,891
443208,432
443209,432
443210,432
443211,432
443212,432
443213,432
443214,432
443215,432
443216,80
443217,1
443218,432
443219,432
443221,432
445206,70
445209,70
445225,60
445226,60
445227,120
445294,60
445312,120
445328,120
445335,224
445337,60
445407,84
445425,64
445426,112
445427,112
445428,60
445429,660
445431,56
445433,56
445436,112
445455,56
445457,56
445458,56
445460,56
445461,88
445462,66
445471,56
445472,132
445473,66
445476,132
445477,66
445478,66
445491,100
445492,90
445503,80
445507,100
445508,100
445509,100
445510,100
445520,72
445549,100
445551,112
445553,55
445554,112
445556,56
445557,90
445558,196
445560,80
445567,120
445580,84
445591,90
445593,66
445594,66
445596,66
445598,56
445648,60
445650,72
445662,132
445673,100
445677,168
445678,168
445696,96
445705,132
445709,88
445713,78
445714,100
445715,100
445720,100
445722,80
445724,1
445725,55
445726,55
