Secuencia,Ubicación,Número de artículo
3909,01-01-01-01,ET8370
3910,01-02-01-01,000836
3911,01-03-01-01,450061
3912,01-04-01-01,000622
3913,01-05-01-01,450458
3914,01-06-01-01,450581
3915,01-07-01-01,450197
3916,01-08-01-01,450432
3917,01-09-01-01,450547
3918,01-10-01-01,451371
3919,01-11-01-01,450551
3920,01-12-01-01,450762
3921,01-13-01-01,450758
3922,01-14-01-01,604926
3923,01-15-01-01,450576
3924,01-16-01-01,450577
3925,01-17-01-01,451066
3926,01-18-01-01,451470
3927,01-20-01-01,450637
3928,01-25-01-01,ET47546
3929,01-25-01-02,ET8707480
3930,01-26-01-01,ET47503
3931,01-26-01-02,ET8707154
3932,01-27-01-01,ET47570
3933,01-27-01-02,ET18309
3934,01-28-01-01,ET4752K
3935,01-28-01-02,ET47589
5674,01-29-01-01,ET8717176
5671,01-30-01-01,447107
5672,01-31-01-01,447108
5673,01-32-01-01,447106
5675,01-33-01-01,ET8717184
5670,01-34-01-01,ET870189K
3937,01-35-01-01,ET8714738
3938,01-37-01-01,ET8702357
5226,02-01-01-01,445774
5227,02-01-01-02,445770
5228,02-02-01-01,445761
5229,02-03-01-01,445743
5230,02-04-01-01,445727
5231,02-05-01-01,445882
5232,02-06-01-01,447019
5233,02-06-01-02,445879
5234,02-07-01-01,445503
5235,02-07-01-02,445856
5679,02-07-01-03,447083
5236,02-08-01-01,447008
5237,02-08-01-02,447084
5680,02-08-01-03,447098
5239,02-09-01-01,447088
5240,02-09-01-02,445709
5241,02-09-01-03,445813
5242,02-10-01-01,445491
5243,02-10-01-02,445673
5244,02-10-01-03,447073
5245,02-10-01-04,445591
5246,02-11-01-01,447010
5247,02-12-01-01,445225
5248,02-13-01-01,445294
5249,02-13-01-02,445328
5250,02-13-01-03,447009
5251,02-13-01-04,445982
5252,02-14-01-01,445783
5253,02-14-01-02,445492
5254,02-14-01-03,447066
5255,02-15-01-01,445227
5256,02-15-01-02,445226
5257,02-15-01-03,268534
5258,02-16-01-01,447005
5259,02-16-01-02,447006
5260,02-16-01-03,447007
5261,02-17-01-01,445556
5262,02-17-01-02,445873
5263,02-17-01-03,445810
5264,02-18-01-01,445902
5265,02-18-01-02,447045
5266,02-18-01-03,445471
5267,02-18-01-04,445472
5268,02-19-01-01,445473
5269,02-19-01-02,447054
5270,02-19-01-03,445455
5271,02-19-01-04,445789
5272,02-20-01-01,445457
5273,02-20-01-02,445598
5274,02-20-01-03,445855
5275,02-20-01-04,445460
5276,02-21-01-01,447036
5277,02-21-01-02,447033
5278,02-21-01-03,447081
5279,02-22-01-01,445593
5280,02-22-01-02,445596
5281,02-22-01-03,445877
5282,02-22-01-04,445880
5283,02-23-01-01,445209
5284,02-24-01-01,445897
5285,02-25-01-01,445554
5286,02-26-01-01,445407
5287,02-27-01-01,445520
5288,02-28-01-01,445755
5289,02-29-01-01,445811
5290,02-30-01-01,447085
5291,02-31-01-01,447051
5292,02-32-01-01,445580
5293,02-32-01-02,445759
5294,02-33-01-01,447058
5295,02-33-01-02,445847
5296,02-34-01-01,447075
5297,02-34-01-02,447076
5298,02-35-01-01,447053
5299,02-35-01-02,445785
5300,02-35-01-03,447077
5301,02-36-01-01,447087
5302,02-36-01-02,447086
5303,02-36-01-03,447089
5304,02-37-01-01,447082
5305,02-38-01-01,445940
4019,03-01-01-01,700455
4020,03-01-01-02,700808
4021,03-01-01-03,700534
4022,03-01-01-04,701108
4023,03-02-01-01,701011
4024,03-02-01-02,700525
4025,03-02-01-03,701010
4026,03-02-01-04,007863
4027,03-03-01-01,007864
4028,03-03-01-02,007865
4029,03-03-01-03,700445
4030,03-03-01-04,700447
4031,03-04-01-01,700448
4032,03-04-01-02,700521
4033,03-04-01-03,701020
4034,03-04-01-04,700522
4035,03-05-01-01,700537
4036,03-05-01-02,700916
4037,03-05-01-03,700409
4038,03-05-01-04,700917
4039,03-06-01-01,700802
4040,03-06-01-02,700215
4041,03-06-01-03,700393
4042,03-06-01-04,700539
5307,03-07-01-01,700576
4044,03-09-01-01,007585
4045,03-09-01-02,700509
4046,03-09-01-03,700381
4047,03-09-01-04,700687
4048,03-10-01-01,007602
4049,03-10-01-02,700818
4050,03-10-01-03,700794
4051,03-10-01-04,700593
4052,03-11-01-01,846151
4053,03-11-01-02,700592
4054,03-11-01-03,846302
4055,03-11-01-04,701003
4056,03-12-01-01,700680
4057,03-12-01-02,700387
4058,03-12-01-03,700589
4059,03-12-01-04,700611
4060,03-13-01-01,700810
4061,03-13-01-02,701008
4062,03-13-01-03,701013
4063,03-13-01-04,700356
4064,03-14-01-01,700214
4065,03-14-01-02,701014
4066,03-14-01-03,845628
4067,03-14-01-04,846209
4068,03-15-01-01,700805
4069,03-15-01-02,700806
4070,03-15-01-03,700517
4071,03-15-01-04,700516
4072,03-16-01-01,700910
4073,03-16-01-02,700707
4074,03-16-01-03,700706
4075,03-16-01-04,700705
4076,03-17-01-01,700686
4077,03-17-01-02,007919
4078,03-17-01-03,700684
4079,03-17-01-04,700683
4080,03-18-01-01,700682
4081,03-18-01-02,700688
4082,03-18-01-03,701005
4083,03-18-01-04,700679
4084,03-19-01-01,700535
4085,03-19-01-02,700702
4086,03-19-01-03,700704
4087,03-19-01-04,700703
4088,03-20-01-01,846148
4089,03-20-01-02,845621
4090,03-20-01-03,701019
4091,03-20-01-04,701018
4092,03-21-01-01,845629
4093,03-21-01-02,846218
4094,03-21-01-03,846216
4095,03-21-01-04,846152
4096,03-22-01-01,700803
4097,03-22-01-02,700326
4098,03-22-01-03,007266
4099,03-22-01-04,700771
4100,03-23-01-01,007860
4101,03-23-01-02,700391
4102,03-23-01-03,700823
4103,03-23-01-04,700230
4104,03-24-01-01,009021
4105,03-24-01-02,700272
4106,03-24-01-03,007686
4107,03-24-01-04,007680
4108,03-25-01-01,700556
4109,03-25-01-02,700555
4110,03-25-01-03,700569
4111,03-26-01-01,700570
4112,03-26-01-02,700456
4113,03-26-01-03,007825
4114,03-26-01-04,700583
4115,03-27-01-01,700018
4116,03-27-01-02,701004
4117,03-27-01-03,700584
4118,03-27-01-04,700613
4119,03-28-01-01,700586
4120,03-28-01-02,007848
4121,03-28-01-03,700612
4122,03-28-01-04,700342
4123,03-29-01-01,700250
4124,03-29-01-02,700225
4125,03-29-01-03,700820
4126,03-29-01-04,700919
4127,03-30-01-01,700905
4128,03-30-01-02,700425
4129,03-30-01-03,700921
4130,03-30-01-04,700407
4131,03-31-01-01,700293
4132,03-31-01-02,700292
4133,03-31-01-03,700450
4134,03-31-01-04,700229
4135,03-32-01-01,700155
4136,03-32-01-02,700153
4137,03-32-01-03,700154
4138,03-32-01-04,700156
5306,03-34-01-01,700659
4140,03-34-01-02,700660
4141,03-34-01-03,700668
4142,03-34-01-04,700826
4143,03-35-01-01,700575
4144,03-36-01-01,700564
4145,03-37-01-01,700563
4146,03-38-01-01,700691
4147,03-38-01-02,700565
5308,04-01-01-01,701106
5309,04-02-01-01,700809
5310,04-03-01-01,700042
5311,04-04-01-01,700039
5312,04-05-01-01,700533
