NOMBRE UBICACIÓN,AREA,PASILLO,CAPACIDAD MAXIMA
01-01-01-01,SURTID,1,20 Piezas
01-01-02-01,ALMPIC,1,3 Palés
01-01-03-01,ALMPIC,1,3 Palés
01-02-01-01,SURTID,1,20 Piezas
01-02-02-01,ALMPIC,1,3 Palés
01-02-03-01,ALMPIC,1,3 Palés
01-03-01-01,SURTID,1,24 Piezas
01-03-02-01,ALMPIC,1,3 Palés
01-03-03-01,ALMPIC,1,3 Palés
01-04-01-01,SURTID,1,24 Piezas
01-04-02-01,ALMPIC,1,3 Palés
01-04-03-01,ALMPIC,1,3 Palés
01-05-01-01,SURTID,1,24 Piezas
01-05-02-01,ALMPIC,1,3 Palés
01-05-03-01,ALMPIC,1,3 Palés
01-06-01-01,SURTID,1,24 Piezas
01-06-02-01,ALMPIC,1,3 Palés
01-06-03-01,ALMPIC,1,3 Palés
01-07-01-01,SURTID,1,24 Piezas
01-07-02-01,ALMPIC,1,3 Palés
01-07-03-01,ALMPIC,1,3 Palés
01-08-01-01,SURTID,1,24 Piezas
01-08-02-01,ALMPIC,1,3 Palés
01-08-03-01,ALMPIC,1,3 Palés
01-09-01-01,SURTID,1,24 Piezas
01-09-02-01,ALMPIC,1,3 Palés
01-09-03-01,ALMPIC,1,3 Palés
01-10-01-01,SURTID,1,24 Piezas
01-10-02-01,ALMPIC,1,3 Palés
01-10-03-01,ALMPIC,1,3 Palés
01-11-01-01,SURTID,1,24 Piezas
01-11-02-01,ALMPIC,1,3 Palés
01-11-03-01,ALMPIC,1,3 Palés
01-12-01-01,SURTID,1,24 Piezas
01-12-02-01,ALMPIC,1,3 Palés
01-12-03-01,ALMPIC,1,3 Palés
01-13-01-01,SURTID,1,24 Piezas
01-13-02-01,ALMPIC,1,3 Palés
01-13-03-01,ALMPIC,1,3 Palés
01-14-01-01,SURTID,1,24 Piezas
01-14-02-01,ALMPIC,1,3 Palés
01-14-03-01,ALMPIC,1,3 Palés
01-15-01-01,SURTID,1,20 Piezas
01-15-02-01,ALMPIC,1,3 Palés
01-15-03-01,ALMPIC,1,3 Palés
01-16-01-01,SURTID,1,20 Piezas
01-16-02-01,ALMPIC,1,3 Palés
01-16-03-01,ALMPIC,1,3 Palés
01-17-01-01,SURTID,1,24 Piezas
01-17-02-01,ALMPIC,1,3 Palés
01-17-03-01,ALMPIC,1,3 Palés
01-18-01-01,SURTID,1,24 Piezas
01-18-02-01,ALMPIC,1,3 Palés
01-18-03-01,ALMPIC,1,3 Palés
01-19-01-01,SURTID,1,24 Piezas
01-19-02-01,ALMPIC,1,3 Palés
01-19-03-01,ALMPIC,1,3 Palés
01-20-01-01,SURTID,1,98 Piezas
01-20-02-01,ALMPIC,1,3 Palés
01-20-03-01,ALMPIC,1,3 Palés
01-21-01-01,SURTID,1,24 Piezas
01-21-02-01,ALMPIC,1,3 Palés
01-21-03-01,ALMPIC,1,3 Palés
01-22-01-01,SURTID,1,24 Piezas
01-22-02-01,ALMPIC,1,3 Palés
01-22-03-01,ALMPIC,1,3 Palés
01-23-01-01,SURTID,1,24 Piezas
01-23-02-01,ALMPIC,1,3 Palés
01-23-03-01,ALMPIC,1,3 Palés
01-24-01-01,SURTID,1,24 Piezas
01-24-02-01,ALMPIC,1,3 Palés
01-24-03-01,ALMPIC,1,3 Palés
01-25-01-01,SURTID,1,25 Piezas
01-25-01-02,SURTID,1,25 Piezas
01-25-02-01,ALMPIC,1,3 Palés
01-25-03-01,ALMPIC,1,3 Palés
01-26-01-01,SURTID,1,25 Piezas
01-26-01-02,SURTID,1,25 Piezas
01-26-02-01,ALMPIC,1,1 Palés
01-26-03-01,ALMPIC,1,1 Palés
01-27-01-01,SURTID,1,25 Piezas
01-27-01-02,SURTID,1,25 Piezas
01-27-02-01,ALMPIC,1,1 Palés
01-27-03-01,ALMPIC,1,1 Palés
01-28-01-01,SURTID,1,25 Piezas
01-28-01-02,SURTID,1,25 Piezas
01-28-02-01,ALMPIC,1,1 Palés
01-28-03-01,ALMPIC,1,1 Palés
01-29-01-01,SURTID,1,154 Piezas
01-29-01-02,SURTID,1,24 Piezas
01-29-02-01,ALMPIC,1,1 Palés
01-29-03-01,ALMPIC,1,1 Palés
01-30-01-01,SURTID,1,90 Piezas
01-30-02-01,ALMPIC,1,1 Palés
01-30-03-01,ALMPIC,1,1 Palés
01-31-01-01,SURTID,1,90 Piezas
01-31-02-01,ALMPIC,1,1 Palés
01-31-03-01,ALMPIC,1,1 Palés
01-32-01-01,SURTID,1,90 Piezas
01-32-02-01,ALMPIC,1,1 Palés
01-32-03-01,ALMPIC,1,1 Palés
01-33-01-01,SURTID,1,154 Piezas
01-33-02-01,ALMPIC,1,1 Palés
01-33-03-01,ALMPIC,1,1 Palés
01-34-01-01,SURTID,1,84 Piezas
01-34-02-01,ALMPIC,1,1 Palés
01-34-03-01,ALMPIC,1,1 Palés
01-35-01-01,SURTID,1,228 Piezas
01-35-02-01,ALMPIC,1,1 Palés
01-35-03-01,ALMPIC,1,1 Palés
01-36-01-01,SURTID,1,216 Piezas
01-36-02-01,ALMPIC,1,1 Palés
01-36-03-01,ALMPIC,1,1 Palés
01-37-01-01,SURTID,1,288 Piezas
01-37-02-01,ALMPIC,1,1 Palés
01-37-03-01,ALMPIC,1,1 Palés
01-38-01-01,SURTID,1,1 Piezas
01-38-02-01,ALMPIC,1,1 Palés
01-38-03-01,ALMPIC,1,1 Palés
01-39-03-01,SURTID,1,1 Palés
01-40-03-01,SURTID,1,1 Palés
01-41-01-01,SURTID,1,100 Piezas
01-41-02-01,SURTID,1,1 Palés
01-41-03-01,SURTID,1,1 Palés
01-42-01-01,SURTID,1,100 Piezas
01-42-02-01,SURTID,1,1 Palés
01-42-03-01,SURTID,1,1 Palés
02-01-01-01,SURTID,2,50 Piezas
02-01-01-02,SURTID,2,50 Piezas
02-01-02-01,ALMPIC,2,1 Palés
02-01-03-01,ALMPIC,2,1 Palés
02-02-01-01,SURTID,2,56 Piezas
02-02-02-01,ALMPIC,2,1 Palés
02-02-03-01,ALMPIC,2,1 Palés
02-03-01-01,SURTID,2,56 Piezas
02-03-02-01,ALMPIC,2,1 Palés
02-03-03-01,ALMPIC,2,1 Palés
02-04-01-01,SURTID,2,110 Piezas
02-04-02-01,ALMPIC,2,1 Palés
02-04-03-01,ALMPIC,2,1 Palés
02-05-01-01,SURTID,2,90 Piezas
02-05-02-01,ALMPIC,2,1 Palés
02-05-03-01,ALMPIC,2,1 Palés
02-06-01-01,SURTID,2,54 Piezas
02-06-01-02,SURTID,2,54 Piezas
02-06-02-01,ALMPIC,2,1 Palés
02-06-03-01,ALMPIC,2,1 Palés
02-07-01-01,SURTID,2,34 Piezas
02-07-01-02,SURTID,2,40 Piezas
02-07-01-03,SURTID,18,100 Piezas
02-07-02-01,ALMPIC,2,1 Palés
02-07-03-01,ALMPIC,2,1 Palés
02-08-01-01,SURTID,2,23 Piezas
02-08-01-02,SURTID,2,11 Piezas
02-08-01-03,SURTID,2,40 Piezas
02-08-02-01,ALMPIC,2,1 Palés
02-08-03-01,ALMPIC,2,1 Palés
02-09-01-01,SURTID,2,14 Piezas
02-09-01-02,SURTID,2,25 Piezas
02-09-01-03,SURTID,2,40 Piezas
02-09-02-01,ALMPIC,2,1 Palés
02-09-03-01,ALMPIC,2,1 Palés
02-10-01-01,SURTID,2,18 Piezas
02-10-01-02,SURTID,2,18 Piezas
02-10-01-03,SURTID,2,24 Piezas
02-10-01-04,SURTID,2,14 Piezas
02-10-02-01,ALMPIC,2,1 Palés
02-10-03-01,ALMPIC,2,1 Palés
02-11-01-01,SURTID,2,106 Piezas
02-11-02-01,ALMPIC,2,1 Palés
02-11-03-01,ALMPIC,2,1 Palés
02-12-01-01,SURTID,2,70 Piezas
02-12-02-01,ALMPIC,2,1 Palés
02-12-03-01,ALMPIC,2,1 Palés
02-13-01-01,SURTID,2,10 Piezas
02-13-01-02,SURTID,2,16 Piezas
02-13-01-03,SURTID,2,24 Piezas
02-13-01-04,SURTID,2,30 Piezas
02-13-02-01,ALMPIC,2,1 Palés
02-13-03-01,ALMPIC,2,1 Palés
02-14-01-01,SURTID,2,10 Piezas
02-14-01-02,SURTID,2,21 Piezas
02-14-01-03,SURTID,2,66 Piezas
02-14-02-01,ALMPIC,2,1 Palés
02-14-03-01,ALMPIC,2,1 Palés
02-15-01-01,SURTID,2,16 Piezas
02-15-01-02,SURTID,2,10 Piezas
02-15-01-03,SURTID,2,36 Piezas
02-15-02-01,ALMPIC,2,1 Palés
02-15-03-01,ALMPIC,2,1 Palés
02-16-01-01,SURTID,2,16 Piezas
02-16-01-02,SURTID,2,18 Piezas
02-16-01-03,SURTID,2,40 Piezas
02-16-02-01,ALMPIC,2,1 Palés
02-16-03-01,ALMPIC,2,1 Palés
02-17-01-01,SURTID,2,14 Piezas
02-17-01-02,SURTID,2,20 Piezas
02-17-01-03,SURTID,2,44 Piezas
02-17-02-01,ALMPIC,2,1 Palés
02-17-03-01,ALMPIC,2,1 Palés
02-18-01-01,SURTID,2,20 Piezas
02-18-01-02,SURTID,2,15 Piezas
02-18-01-03,SURTID,2,16 Piezas
02-18-01-04,SURTID,2,16 Piezas
02-18-02-01,ALMPIC,2,1 Palés
02-18-03-01,ALMPIC,2,1 Palés
02-19-01-01,SURTID,2,12 Piezas
02-19-01-02,SURTID,2,22 Piezas
02-19-01-03,SURTID,2,16 Piezas
02-19-01-04,SURTID,2,14 Piezas
02-19-02-01,ALMPIC,2,1 Palés
02-19-03-01,ALMPIC,2,1 Palés
02-20-01-01,SURTID,2,14 Piezas
02-20-01-02,SURTID,2,14 Piezas
02-20-01-03,SURTID,2,20 Piezas
02-20-01-04,SURTID,2,16 Piezas
02-20-02-01,ALMPIC,2,1 Palés
02-20-03-01,ALMPIC,2,1 Palés
02-21-01-01,SURTID,2,18 Piezas
02-21-01-02,SURTID,2,20 Piezas
02-21-01-03,SURTID,2,34 Piezas
02-21-02-01,ALMPIC,2,1 Palés
02-21-03-01,ALMPIC,2,1 Palés
02-22-01-01,SURTID,2,14 Piezas
02-22-01-02,SURTID,2,14 Piezas
02-22-01-03,SURTID,2,16 Piezas
02-22-01-04,SURTID,2,16 Piezas
02-22-02-01,ALMPIC,2,1 Palés
02-22-03-01,ALMPIC,2,1 Palés
02-23-01-01,SURTID,2,80 Piezas
02-23-01-02,SURTID,2,70 Piezas
02-23-01-03,SURTID,2,70 Piezas
02-23-01-04,SURTID,2,70 Piezas
02-23-02-01,ALMPIC,2,1 Palés
02-23-03-01,ALMPIC,2,1 Palés
02-24-01-01,SURTID,2,112 Piezas
02-24-01-02,SURTID,2,70 Piezas
02-24-01-03,SURTID,2,70 Piezas
02-24-01-04,SURTID,2,70 Piezas
02-24-02-01,ALMPIC,2,1 Palés
02-24-03-01,ALMPIC,2,1 Palés
02-25-01-01,SURTID,2,140 Piezas
02-25-01-02,SURTID,2,70 Piezas
02-25-01-03,SURTID,2,70 Piezas
02-25-02-01,ALMPIC,2,1 Palés
02-25-03-01,ALMPIC,2,1 Palés
02-26-01-01,SURTID,2,90 Piezas
02-26-02-01,ALMPIC,2,1 Palés
02-26-03-01,ALMPIC,2,1 Palés
02-27-01-01,SURTID,2,82 Piezas
02-27-02-01,ALMPIC,2,1 Palés
02-27-03-01,ALMPIC,2,1 Palés
02-28-01-01,SURTID,2,82 Piezas
02-28-02-01,ALMPIC,2,1 Palés
02-28-03-01,ALMPIC,2,1 Palés
02-29-01-01,SURTID,2,82 Piezas
02-29-02-01,ALMPIC,2,1 Palés
